| Current Cycle | Remaining Time to Recover URL       | Recovered backQueue URL to go to prioritizer       | Next backQueueID to deque when ready     | URLs written to frontQueues/ fromFile +(fromRecover)    | URLs read from file and analized  | Queue Selector Status  | Queue Selector and Router status    |Recovered backQueue at this cycle   | 
| 0             | 0                                   | No available recovered URL yet .                   | 1                                        |                             0 + (0)                     | 5                                 |      was invoked       | Back Queues were refilled           |google.com                          | 
| 1             | 3                                   | google.com                                         | 2                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 2             | 2                                   | No available recovered URL yet .                   | 2                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 3             | 1                                   | No available recovered URL yet .                   | 2                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 4             | 0                                   | No available recovered URL yet .                   | 2                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |youtube.com                         | 
| 5             | 1                                   | youtube.com                                        | 3                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 6             | 0                                   | No available recovered URL yet .                   | 3                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |facebook.com                        | 
| 7             | 4                                   | facebook.com                                       | 4                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 8             | 3                                   | No available recovered URL yet .                   | 4                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 9             | 2                                   | No available recovered URL yet .                   | 4                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 10            | 1                                   | No available recovered URL yet .                   | 4                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 11            | 0                                   | No available recovered URL yet .                   | 4                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |msn.com                             | 
| 12            | 2                                   | msn.com                                            | 5                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 13            | 1                                   | No available recovered URL yet .                   | 5                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 14            | 0                                   | No available recovered URL yet .                   | 5                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |bing.com                            | 
| 15            | 4                                   | bing.com                                           | 6                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 16            | 3                                   | No available recovered URL yet .                   | 6                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 17            | 2                                   | No available recovered URL yet .                   | 6                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 18            | 1                                   | No available recovered URL yet .                   | 6                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 19            | 0                                   | No available recovered URL yet .                   | 6                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |yahoo.com                           | 
| 20            | 3                                   | yahoo.com                                          | 7                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 21            | 2                                   | No available recovered URL yet .                   | 7                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 22            | 1                                   | No available recovered URL yet .                   | 7                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 23            | 0                                   | No available recovered URL yet .                   | 7                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |amazon.com                          | 
| 24            | 3                                   | amazon.com                                         | 8                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 25            | 2                                   | No available recovered URL yet .                   | 8                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 26            | 1                                   | No available recovered URL yet .                   | 8                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 27            | 0                                   | No available recovered URL yet .                   | 8                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |twitter.com                         | 
